298,41,139,8,label_N,f1.2-.jpg
281,71,139,41,label_E,f1.2-.jpg
136,37,101,7,label_N_titulo,f1.2-.jpg
138,74,101,42,label_E_titulo,f1.2-.jpg
151,116,100,81,label_contexto_titulo,f1.2-.jpg
347,113,154,83,label_contexto_numero,f1.2-.jpg
1821,111,354,82,label_contexto,f1.2-.jpg
1042,46,948,12,label_head,f1.2-.jpg
951,42,862,11,label_head_titulo,f1.2-.jpg
921,72,865,46,label_contexto_titulo,f1.2-.jpg
1034,74,919,47,label_contexto_numero,f1.2-.jpg
1691,48,1600,14,label_depth_titulo,f1.2-.jpg
1771,45,1700,13,label_depth,f1.2-.jpg
1651,81,1602,48,label_contexto_titulo,f1.2-.jpg
1718,81,1654,47,label_contexto_numero,f1.2-.jpg
1741,1012,1634,928,label_logo,f1.2-.jpg
1817,1063,1554,1029,label_contexto,f1.2-.jpg
1853,1080,1825,1064,label_contexto,f1.2-.jpg
1885,1080,1858,1064,label_contexto,f1.2-.jpg
1910,1080,1890,1066,label_contexto,f1.2-.jpg
1345,1067,1129,1028,label_contexto,f1.2-.jpg
1053,1061,930,1030,label_contexto,f1.2-.jpg
868,1064,751,1034,label_hora,f1.2-.jpg
745,1063,597,1032,label_date,f1.2-.jpg
269,1028,43,993,label_logo,f1.2-.jpg
250,1062,67,1030,label_contexto,f1.2-.jpg
